-----------------
OBJECT ATTRIBUTES
-----------------
in reference to the object maps

byte 1,2 (10-bit)  object assignment
byte 2	bits 2-7: 
byte 3	BGL priorities
 bit 6	overlap BGL 1
 bit 7	overlap BGL 1,2(just some)
byte 4  bits 0-3: Y pixel shift up
	bit 4: shift 16 pixels down
byte 5	physical field
byte 6	physical field
 bit 0-3 height (0 to 15)
 bit 4	overlap BGL 2
 bit 5
 bit 6
 bit 7
byte 7

OFFSET	BYTE	DATA
1DBE35	[0E3]	E3 00 00 00 00 00 00
1DBE3C	[0E4]	E4 00 00 00 00 00 00
1DBE43	[0E5]	E5 00 00 00 00 00 00
1DBE4A	[0E6]	E6 00 00 00 00 00 00
1DBE51	[0E7]	E7 00 00 00 00 00 00
1DBE58	[0E8]	E8 00 00 00 00 00 00
1DBE5F	[0E9]	E9 00 00 00 00 00 00
1DBE66	[0EA]	EA 00 00 00 00 00 00
1DBE6D	[0EB]	EB 00 00 00 00 00 00
1DBE74	[0EC]	EC 00 00 00 00 00 00
1DBE7B	[0ED]	ED 00 00 00 00 00 00
1DBE82	[0EE]	EE 00 00 00 00 00 00
1DBE89	[0EF]	EF 00 00 00 00 00 00
1DBE90	[0F0]	F0 00 00 00 00 00 00
1DBE97	[0F1]	F1 00 00 00 00 00 00
1DBE9E	[0F2]	F2 00 00 00 00 00 00
1DBEA5	[0F3]	F3 00 00 00 00 00 00
1DBEAC	[0F4]	F4 00 00 00 00 00 00
1DBEB3	[0F5]	F5 00 00 00 00 00 00
1DBEBA	[0F6]	F6 00 00 00 00 00 00
1DBEC1	[0F7]	F7 00 00 00 00 00 00
1DBEC8	[0F8]	F8 00 00 00 00 00 00
1DBECF	[0F9]	F9 00 00 00 00 00 00
1DBED6	[0FA]	FA 00 00 00 00 00 00
1DBEDD	[0FB]	FB 00 00 00 00 00 00
1DBEE4	[0FC]	FC 00 00 00 00 00 00
1DBEEB	[0FD]	FF 0B 00 01 44 07 00
1DBEF2	[0FE]	FF 0B 00 01 88 0B 00
1DBEF9	[0FF]	FF 0B 00 01 44 09 00
1DBF00	[100]	00 01 80 21 44 2B 00
1DBF07	[101]	01 01 80 21 55 29 00
1DBF0E	[102]	02 01 80 22 66 2A 00
1DBF15	[103]	03 01 80 3F 44 29 00
1DBF1C	[104]	04 01 80 3F 44 2A 00
1DBF23	[105]	05 21 80 21 66 27 00
1DBF2A	[106]	06 01 80 21 44 28 00
1DBF31	[107]	07 01 80 21 55 2B 00
1DBF38	[108]	08 01 80 21 55 29 00
1DBF3F	[109]	09 01 80 21 66 29 00
1DBF46	[10A]	0A 09 89 21 55 2B 00
1DBF4D	[10B]	0B 21 80 22 44 2A 00
1DBF54	[10C]	0C 01 80 21 77 2B 00
1DBF5B	[10D]	0D 21 80 21 55 2A 00
1DBF62	[10E]	0E 21 80 24 55 2B 00
1DBF69	[10F]	0F 01 80 20 44 29 00
1DBF70	[110]	10 21 80 21 66 2B 00
1DBF77	[111]	11 21 80 20 55 27 00
1DBF7E	[112]	12 01 80 23 44 2A 00
1DBF85	[113]	13 21 80 21 55 2C 00
1DBF8C	[114]	14 21 80 23 88 2B 00
1DBF93	[115]	15 09 80 23 55 2B 00
1DBF9A	[116]	16 49 80 81 99 09 00
1DBFA1	[117]	0D 01 80 21 55 2A 00
1DBFA8	[118]	3C 08 80 40 68 2B 00
1DBFAF	[119]	19 21 80 21 44 2A 00
1DBFB6	[11A]	1A 21 80 22 44 2A 00
1DBFBD	[11B]	1B 69 80 A1 78 33 00
1DBFC4	[11C]	1C 21 80 22 55 2B 00
1DBFCB	[11D]	1D 01 80 21 55 28 00
1DBFD2	[11E]	1E 21 80 20 77 25 00
1DBFD9	[11F]	1F 41 80 81 84 0D 00
1DBFE0	[120]	20 A9 80 C1 FF 29 00
1DBFE7	[121]	21 49 80 C1 77 2D 00
1DBFEE	[122]	22 49 80 C1 99 2D 00
1DBFF5	[123]	23 69 80 C1 77 2D 00
1DBFFC	[124]	24 29 80 C1 77 2D 00
1DC003	[125]	25 89 80 81 77 0D 00
1DC00A	[126]	26 A9 80 DF DD 33 00
1DC011	[127]	27 C9 80 C1 FF 37 00
1DC018	[128]	28 69 80 C1 FF 37 00
1DC01F	[129]	29 A9 80 C1 FF 37 00
1DC026	[12A]	2A 69 80 A0 77 2A 00
1DC02D	[12B]	2B 29 80 A1 77 35 00
1DC034	[12C]	2C 49 80 C1 DA 2F 00
1DC03B	[12D]	2D 69 80 C1 AA 35 00
1DC042	[12E]	2E 29 80 C1 FF 37 00
1DC049	[12F]	2F C9 80 C1 FF 37 00
1DC050	[130]	30 89 80 C1 BB 3A 00
1DC057	[131]	31 89 80 C1 BB 3B 00
1DC05E	[132]	32 E9 80 81 77 0D 00
1DC065	[133]	33 69 80 C1 BB 3F 00
1DC06C	[134]	34 69 80 C2 99 36 00
1DC073	[135]	35 69 80 A1 BB 3F 00
1DC07A	[136]	36 69 80 C1 BB 37 00
1DC081	[137]	37 C9 80 81 BB 15 00
1DC088	[138]	38 89 80 C0 99 2E 00
1DC08F	[139]	39 69 80 C1 BB 37 00
1DC096	[13A]	3A 89 80 81 BB 17 00
1DC09D	[13B]	3B A9 80 C1 BB 37 00
1DC0A4	[13C]	3C 89 80 A1 BB 37 00
1DC0AB	[13D]	3D E9 80 81 FF 17 00
1DC0B2	[13E]	3E C9 80 81 FF 17 00
1DC0B9	[13F]	7E 48 80 81 99 0A 00
1DC0C0	[140]	40 01 80 21 44 2B 00
1DC0C7	[141]	41 01 80 21 55 29 00
1DC0CE	[142]	42 01 80 22 66 2A 00
1DC0D5	[143]	43 01 80 3F 44 29 00
1DC0DC	[144]	44 01 80 3F 44 29 00
1DC0E3	[145]	45 21 80 21 66 27 00
1DC0EA	[146]	46 01 80 21 44 28 00
1DC0F1	[147]	47 01 80 21 55 2B 00
1DC0F8	[148]	14 21 80 23 88 2B 00
1DC0FF	[149]	49 01 80 21 66 29 00
1DC106	[14A]	8B 29 80 23 77 2C 00
1DC10D	[14B]	4B 21 80 22 44 2A 00
1DC114	[14C]	2A 69 80 A0 77 2A 00
1DC11B	[14D]	4D 21 80 21 55 2A 00
1DC122	[14E]	4D 01 80 A1 55 2A 00
1DC129	[14F]	4F 01 80 20 44 29 00
1DC130	[150]	50 21 80 21 66 2B 00
1DC137	[151]	51 21 80 20 55 27 00
1DC13E	[152]	52 01 80 23 44 2A 00
1DC145	[153]	53 21 80 21 55 2C 00
1DC14C	[154]	54 21 80 23 88 2B 00
1DC153	[155]	48 09 80 23 55 2B 00
1DC15A	[156]	56 49 80 81 99 0A 00
1DC161	[157]	57 29 80 23 77 2C 00
1DC168	[158]	58 01 80 21 33 27 00
1DC16F	[159]	59 21 80 21 44 2A 00
1DC176	[15A]	5A 01 80 21 33 27 00
1DC17D	[15B]	5B 01 80 22 55 2B 00
1DC184	[15C]	5C 21 80 22 55 2B 00
1DC18B	[15D]	5D 21 80 01 22 27 00
1DC192	[15E]	5E 21 80 20 77 25 00
1DC199	[15F]	5F 01 80 02 33 2B 00
1DC1A0	[160]	60 A9 80 C1 FF 29 00
1DC1A7	[161]	58 21 80 A1 33 27 00
1DC1AE	[162]	62 49 80 C1 99 2D 00
1DC1B5	[163]	63 69 80 C1 77 2D 00
1DC1BC	[164]	64 29 80 C1 77 2D 00
1DC1C3	[165]	65 89 80 81 77 0D 00
1DC1CA	[166]	66 A9 80 DF DD 33 00
1DC1D1	[167]	12 01 80 A3 44 2A 00
1DC1D8	[168]	68 69 80 C1 FF 37 00
1DC1DF	[169]	69 A9 80 C1 FF 37 00
1DC1E6	[16A]	6A 69 80 A0 77 2A 00
1DC1ED	[16B]	6B 29 80 C1 68 31 00
1DC1F4	[16C]	6C 49 80 C1 DA 2F 00
1DC1FB	[16D]	6D 69 80 C1 FF 37 00
1DC202	[16E]	6E 29 80 C1 FF 37 00
1DC209	[16F]	6F C9 80 C1 FF 37 00
1DC210	[170]	70 89 80 C1 BB 3D 00
1DC217	[171]	71 89 80 C1 BB 3F 00
1DC21E	[172]	72 E9 80 81 77 0D 00
1DC225	[173]	73 41 80 01 77 CD 04
1DC22C	[174]	74 69 80 C2 99 36 00
1DC233	[175]	75 69 80 A1 BB 3F 00
1DC23A	[176]	76 69 80 C1 BB 37 00
1DC241	[177]	77 C9 80 81 77 0D 00
1DC248	[178]	78 01 80 01 77 2D 00
1DC24F	[179]	79 69 80 C1 BB 37 00
1DC256	[17A]	7A 89 80 81 BB 17 00
1DC25D	[17B]	7B A9 80 C1 BB 37 00
1DC264	[17C]	7C 89 80 A1 BB 37 00
1DC26B	[17D]	7D E9 80 81 FF 17 00
1DC272	[17E]	7E C9 80 81 FF 17 00
1DC279	[17F]	7F E9 80 81 FF 17 00
1DC280	[180]	80 01 80 01 77 CD 04
1DC287	[181]	81 01 80 01 77 CD 04
1DC28E	[182]	82 01 80 01 77 CD 04
1DC295	[183]	83 01 80 01 77 CD 04
1DC29C	[184]	84 29 80 81 11 01 00
1DC2A3	[185]	85 01 80 01 77 CD 04
1DC2AA	[186]	86 29 80 23 77 2C 00
1DC2B1	[187]	87 49 80 01 DD 1B 00
1DC2B8	[188]	88 01 80 01 77 CD 04
1DC2BF	[189]	89 01 80 01 77 CD 04
1DC2C6	[18A]	8A 01 80 21 55 29 00
1DC2CD	[18B]	8B 49 80 A3 77 2C 00
1DC2D4	[18C]	8C A9 80 01 77 0D 00
1DC2DB	[18D]	8E 21 80 80 22 0B 00
1DC2E2	[18E]	8E 21 80 00 22 0B 00
1DC2E9	[18F]	8F 21 80 24 66 2A 00
1DC2F0	[190]	8F 21 80 A4 66 2A 00
1DC2F7	[191]	91 01 80 01 33 2B 00
1DC2FE	[192]	92 01 80 02 33 2B 00
1DC305	[193]	99 08 80 01 11 01 00
1DC30C	[194]	9A 28 80 81 11 01 00
1DC313	[195]	95 01 80 01 77 CD 04
1DC31A	[196]	96 01 80 01 77 CD 04
1DC321	[197]	97 01 80 01 77 CD 04
1DC328	[198]	98 01 80 01 77 CD 04
1DC32F	[199]	99 01 80 01 77 CD 04
1DC336	[19A]	9A 01 80 01 77 CD 04
1DC33D	[19B]	9B 01 80 01 77 CD 04
1DC344	[19C]	9C 01 80 01 77 CD 04
1DC34B	[19D]	9D 01 80 01 77 CD 04
1DC352	[19E]	9E 01 80 01 33 2B 00
1DC359	[19F]	9F 49 80 81 33 1F 00
1DC360	[1A0]	A0 29 80 81 44 0D 00
1DC367	[1A1]	A1 21 80 80 11 01 00
1DC36E	[1A2]	A1 61 80 80 11 01 00
1DC375	[1A3]	A3 01 80 01 77 CD 04
1DC37C	[1A4]	A4 01 80 01 77 CD 04
1DC383	[1A5]	A5 01 80 01 77 CD 04
1DC38A	[1A6]	A6 01 80 01 77 CD 04
1DC391	[1A7]	41 00 80 81 55 02 00
1DC398	[1A8]	70 00 80 81 55 02 00
1DC39F	[1A9]	71 00 80 81 55 02 00
1DC3A6	[1AA]	F6 08 80 81 55 02 00
1DC3AD	[1AB]	F7 08 80 7E 66 24 00
1DC3B4	[1AC]	F8 08 80 80 33 06 00
1DC3BB	[1AD]	F9 08 80 7D 77 27 00
1DC3C2	[1AE]	BC 08 80 01 44 28 00
1DC3C9	[1AF]	B0 09 80 A0 73 2A 00
1DC3D0	[1B0]	B0 09 89 3C 66 25 00
1DC3D7	[1B1]	B1 09 80 83 44 09 00
1DC3DE	[1B2]	B2 09 80 3C 66 25 00
1DC3E5	[1B3]	B2 09 89 3C 66 25 00
1DC3EC	[1B4]	B4 09 80 01 33 26 00
1DC3F3	[1B5]	B5 01 80 01 77 CD 00
1DC3FA	[1B6]	B6 01 80 01 77 CD 00
1DC401	[1B7]	B7 01 80 01 77 CD 00
1DC408	[1B8]	B8 09 80 9D 22 23 00
1DC40F	[1B9]	3D 48 80 C0 8E 32 00
1DC416	[1BA]	BA 01 80 01 77 CD 00
1DC41D	[1BB]	BB 09 80 3E 55 2B 00
1DC424	[1BC]	BC 01 80 01 77 CD 00
1DC42B	[1BD]	BD 01 80 01 77 CD 00
1DC432	[1BE]	8E 00 80 01 77 0D 00
1DC439	[1BF]	BF 01 80 01 77 CD 00
1DC440	[1C0]	C0 69 80 01 BB 0D 00
1DC447	[1C1]	C1 69 80 01 BB 0D 00
1DC44E	[1C2]	F5 08 80 81 55 02 00
1DC455	[1C3]	F4 08 80 81 55 03 00
1DC45C	[1C4]	B1 00 80 21 33 2C 00
1DC463	[1C5]	C5 29 80 81 BB 0D 00
1DC46A	[1C6]	C6 29 80 81 BB 0D 00
1DC471	[1C7]	C7 A9 60 02 AA 12 00
1DC478	[1C8]	93 A8 80 02 AA 12 00
1DC47F	[1C9]	C9 A9 60 01 BB 17 00
1DC486	[1CA]	CA 09 80 01 44 07 00
1DC48D	[1CB]	CB A9 80 01 44 07 00
1DC494	[1CC]	CC 69 80 01 BB 0D 00
1DC49B	[1CD]	CD 89 80 41 B9 37 00
1DC4A2	[1CE]	CE 69 80 01 BB 0D 00
1DC4A9	[1CF]	CF 69 80 01 BB 00 00
1DC4B0	[1D0]	D0 49 80 81 8B 13 00
1DC4B7	[1D1]	D1 69 80 01 BB 0D 00
1DC4BE	[1D2]	D2 69 80 01 BB 0D 00
1DC4C5	[1D3]	D3 69 80 01 BB 0D 00
1DC4CC	[1D4]	D4 69 80 01 BB 0D 00
1DC4D3	[1D5]	D5 69 80 01 BB 0D 00
1DC4DA	[1D6]	D6 09 80 81 77 08 00
1DC4E1	[1D7]	A3 69 80 C1 DD 37 00
1DC4E8	[1D8]	AF 48 80 81 99 0A 00
1DC4EF	[1D9]	B0 48 80 81 99 0A 00
1DC4F6	[1DA]	AE 08 80 81 11 01 00
1DC4FD	[1DB]	AD 08 80 01 11 01 00
1DC504	[1DC]	AC 00 80 81 11 23 00
1DC50B	[1DD]	44 21 80 BF 44 29 00
1DC512	[1DE]	68 08 8B 01 44 28 00
1DC519	[1DF]	AB 08 80 01 11 01 00
1DC520	[1E0]	E0 69 80 C1 DD 37 00
1DC527	[1E1]	AA 68 60 A1 99 32 00
1DC52E	[1E2]	A9 68 80 41 88 31 00
1DC535	[1E3]	E3 01 80 02 33 2B 00
1DC53C	[1E4]	4A 01 80 21 77 2C 00
1DC543	[1E5]	9F 68 80 81 11 00 00
1DC54A	[1E6]	F1 68 80 81 86 10 00
1DC551	[1E7]	E7 09 80 01 33 2D 00
1DC558	[1E8]	E8 09 60 01 BB 0D 00
1DC55F	[1E9]	8E 08 80 21 44 28 00
1DC566	[1EA]	9C 08 80 01 11 01 00
1DC56D	[1EB]	9D 28 80 81 11 01 00
1DC574	[1EC]	9E 08 80 01 11 01 00
1DC57B	[1ED]	A7 28 80 C1 99 2F 00
1DC582	[1EE]	62 08 80 19 77 07 00
1DC589	[1EF]	85 09 80 01 11 21 00
1DC590	[1F0]	9B 28 80 81 44 08 00
1DC597	[1F1]	A8 28 80 C1 99 2F 00
1DC59E	[1F2]	7C 00 80 22 33 A7 00
1DC5A5	[1F3]	C0 28 60 06 33 26 00
1DC5AC	[1F4]	92 20 80 BF 77 27 00
1DC5B3	[1F5]	02 01 80 3F 77 27 00
1DC5BA	[1F6]	E9 08 80 7F 77 27 00
1DC5C1	[1F7]	5E 28 60 7E 77 28 00
1DC5C8	[1F8]	F8 21 80 22 44 29 00
