------------
AREA OFFSETS
sorted alphabetically by ID
---------------------------

ID's preceded by ____ are unmapped and unused
ID's followed by *** are legitimate but unused/dummied

BYTE	SPRITE	LAYOUT	EXIT-F	ATTRIB	MAPL	AREA ID
[1C5]	14E3AA	1D201A	1D46B7	20FB28	<35>	Bowser's Keep, Area 05 (dark tunnel, after throne room)
[1C4]	14E391	1D2008	1D469C	20FB25	<35>	Bowser's Keep, Area 06 (save point w/Croco shop)
[1C3]	14E378	1D1FF6	1D4693	20FB22	<35>	Bowser's Keep, Area 07 (150 coins and a mushroom)
[1C6]	14E3DF	1D202C	1D46C9	20FB3C	<8D>	Bowser's Keep, Area 08 (room with 6 doors)
[008]	1485CE	1D00D0	1D31AF	20E478	<35>	Bowser's Keep, Area 09 (tall room, w/o save point this time)
[1C0]	14E321	1D1FC0	1D466F	20FB13	<7E>	Bowser's Keep, Area 09 (tall room, w/save point)
[10A]	14C0C7	1D12F4	1D3E78	20F2D9	<80>	Bowser's Keep, Area 10 (Magikoopa's room)
[1C1]	14E32E	1D1FD2	1D4678	20FB16	<7E>	Bowser's Keep, Area 11 (Thwomp/Bullet room after Magikoopa's room)
[1C2]	14E36B	1D1FE4	1D468A	20FB19	<35>	Bowser's Keep, Area 12 (Croco's Shop 2, after Magikoopa's room)
[190]	14D8C4	1D1C60	1D4488	20F8E0	<0F>	Bowser's Keep, Area 13 (2nd throne room, Boomer's room)
[002]	148451	1D0064	1D3166	20E406	<09>	Bowser's Keep, outside (Mario enters at beginning of game)
[1B7]	14E1A5	1D1F1E	1D464D	20FA6F	<09>	Bowser's Keep, outside (talk to Exor)
[15F]	14CFAB	1D18EE	1D41F0	20F604	<7A>	Culex's Room
[000]	148400	1D0040	1D3166	20E400	<20>	Debug Room
[1B3]	14E0CE	1D1ED6	1D45FE	20FA39	<8A>	ENDING CREDITS: Bowser's Keep, Bowser & troops repair
[1B0]	14E06B	1D1EA0	1D45ED	20FA24	<83>	ENDING CREDITS: Johnny looking out at sunset on beach shore
[1FA]	14EF3B	1D23D4	1D48EB	20FDB6	<4F>	ENDING CREDITS: Marrymore Chapel, Booster wedding Valentina
[10D]	14C146	1D132A	1D3EA3	20F2E8	<94>	ENDING CREDITS: Nimbus Land, Prince Mallow
[177]	14D333	1D1A9E	1D4307	20F6CA	<93>	ENDING CREDITS: Star Pieces shoot through the sky
[1E6]	14EB6F	1D226C	1D47EB	20FD06	<0B>	ENDING CREDITS: Star Pieces, last star piece to 'Thank You'
[1B9]	14E243	1D1F42	1D465F	20FA87	<8C>	ENDING CREDITS: Toadofsky conducts choir
[1F9]	14EEDE	1D23C2	1D48EB	20FDB3	<95>	ENDING CREDITS: Yo'ster Isle, Croco racing Yoshi
[1D5]	14E79A	1D213A	1D471A	20FC23	<88>	Factory Grounds, Area 01
[196]	14DA46	1D1CCC	1D44A3	20F90E	<88>	Factory Grounds, Area 01 (with Toad)
[1D7]	14E860	1D215E	1D472C	20FC3B	<89>	Factory Grounds, Area 02
[1D8]	14E8D9	1D2170	1D4735	20FC50	<89>	Factory Grounds, Area 03
[1D6]	14E7E3	1D214C	1D472C	20FC2C	<87>	Factory Grounds, Area 04 (Gun Yolk's room)
[1F0]	14ECA9	1D2320	1D4849	20FD92	<91>	Factory Grounds, fight with Smithy (uses Sledge)
[1FD]	14EFA2	1D240A	1D4905	20FDBF	<96>	Factory Grounds, Smithy's Pad
[0E6]	14B89B	1D106C	1D3DBB	20F19C	<12>	Forest Maze, 4-way path from Area 09
[0F2]	14BB7C	1D1144	1D3DE8	20F21D	<21>	Forest Maze, all tree trunk underground areas
[0E0]	14B73D	1D1000	1D3D7F	20F14D	<12>	Forest Maze, Area 01
[0E2]	14B7BB	1D1024	1D3DA0	20F176	<12>	Forest Maze, Area 02
[0E9]	14B985	1D10A2	1D3DBB	20F1DA	<21>	Forest Maze, Area 03 (underground)
[0E4]	14B851	1D1048	1D3DA9	20F18C	<12>	Forest Maze, Area 04
[0E1]	14B77A	1D1012	1D3D8E	20F150	<13>	Forest Maze, Area 05 (tree trunk Area)
[0E5]	14B882	1D105A	1D3DB2	20F194	<12>	Forest Maze, Area 06
[0EC]	14BA90	1D10D8	1D3DC4	20F1F4	<22>	Forest Maze, Area 07 (underground w/sleeping Wiggler)
[0EB]	14BA3F	1D10C6	1D3DBB	20F1E5	<21>	Forest Maze, Area 08 (underground)
[0E3]	14B804	1D1036	1D3DA9	20F17E	<14>	Forest Maze, Area 09 (leads to 4-path maze)
[0E8]	14B904	1D1090	1D3DBB	20F1C5	<13>	Forest Maze, Bowyer's practice pad
[0EA]	14B9D2	1010B4	1D3DBB	20F1E2	<21>	Forest Maze, Secret
[0E7]	14B904	1D107E	1D3DBB	20F1B7	<12>	Forest Maze, Secret entrance
[100]	14BE7E	1D1240	1D3E15	20F2A3	<13>	Forest Maze, Small area w/tree trunk ***
[094]	14A72B	1D0AA8	1D38AC	20ED7C	<56>	GAME INTRO: Bandit's Way, Area 04
[097]	14A7EE	1D0ADE	1D38AC	20ED8B	<32>	GAME INTRO: Booster Hill
[123]	14C5C8	1D14B6	1D4004	20F388	<73>	GAME INTRO: Booster Tower, 7F (parachuting Spookums)
[0FA]	14BD3C	1D11D4	1D3DE8	20F23B	<6E>	GAME INTRO: Booster Tower, balcony with Toadstool crying
[101]	14BE7E	1D1252	1D3E15	20F2A6	<13>	GAME INTRO: Forest Maze, fighting Magikoopa at Bowyer's Pad
[104]	14BF3D	1D1288	1D3E27	20F2AF	<23>	GAME INTRO: Forest Maze, jumping on Wiggler
[0F6]	14BCAC	1D118C	1D3DE8	20F22F	<40>	GAME INTRO: Kero Sewers, Entrance
[095]	14A764	1D0ABA	1D38AC	20ED7F	<36>	GAME INTRO: Midas River, Barrel Jumping
[093]	14A6CA	1D0A96	1D38AC	20ED79	<5D>	GAME INTRO: Midas River, water tunnel
[096]	14A7B1	1D0ACC	1D38AC	20ED88	<1A>	GAME INTRO: Moleville, outside during Bowser's troop scene
[0F3]	14BBED	1D1156	1D3DE8	20F226	<11>	GAME INTRO: Mushroom Kingdom Castle, Throne Room
[0F8]	14BCEE	1D11B0	1D3DE8	20F235	<7C>	GAME INTRO: Mushroom Way, Area 01
[1AD]	14DFA9	1D1E6A	1D45DB	20FA16	<33>	GAME INTRO: Nimbus Land, outside with patrolling Birdies
[0F5]	14BC87	1D117A	1D3DE8	20F22C	<44>	GAME INTRO: Pipe Vault, Area 02 (w/Thwomp)
[0DB]	14B62C	1D0FA6	1D3D3C	20F0F0	<19>	GAME INTRO: Sea, shore with Sunken Ship
[0F7]	14BCC5	1D119E	1D3DE8	20F232	<27>	GAME INTRO: Tadpole Pond, Mario summons tadpoles
[0F9]	14BD2F	1D11C2	1D3DE8	20F238	<68>	GAME INTRO: Vista Hill
[0F4]	14BC1A	1D1168	1D3DE8	20F229	<37>	GAME INTRO: Yo'ster Isle, talk to Yoshi & run around
[1A2]	14DDDE	1D1DA4	1D4554	20F9BC	<65>	Gardener's House
[1A1]	14DDC5	1D1D92	1D4542	20F9B9	<0B>	Gardener's House, outside
[068]	149D21	1D0790	1D3685	20EABC	<97>	Grate Guy's Casino, entrance room
[05C]	149A89	1D06B8	1D35E9	20E9B4	<98>	Grate Guy's Casino, inside casino
[06A]	149D4B	1D07B4	1D36A0	20EADA	<07>	Grate Guy's Casino, outside
[14D]	14CBA5	1D17AA	1D41BF	20F4DB	<40>	Kero Sewers Entrance
[03E]	1490FC	1D049C	1D3491	20E808	<6A>	Kero Sewers, Area 01 (water room w/save)
[038]	148FA6	1D0430	1D3439	20E759	<05>	Kero Sewers, Area 02 (long room w/three pipes)
[039]	148FC3	1D0442	1D3442	20E771	<05>	Kero Sewers, Area 03 (large water room w/pipe in center)
[03C]	14904A	1D0478	1D345D	20E7C9	<2F>	Kero Sewers, Area 04 (large room w/Pandorite and hiding Rat Funks)
[03B]	149015	1D0466	1D345D	20E7B2	<05>	Kero Sewers, Area 05 (super star room w/four Rat Funks)
[03A]	148FF4	1D0454	1D344B	20E799	<05>	Kero Sewers, Area 06 (long water room w/Rat Funks in a line)
[12D]	14C609	1D156A	1D4004	20F3A6	<2F>	Kero Sewers, Area 07 (water switch room w/Boos)
[12E]	14C652	1D157C	1D4004	20F3BD	<5B>	Kero Sewers, Area 08 (Belome's Room)
[12F]	14C683	1D158E	1D4004	20F3CC	<5B>	Kero Sewers, Area 08 (Belome's Room, after defeat)
[197]	14DAA3	1D1CDE	1D44AC	20F923	<5F>	Land's End Cliff (climb w/Sky Troopas)
[13D]	14C86D	1D168A	1D40A8	20F450	<76>	Land's End Desert, Area 01
[13E]	14C8A2	1D169C	1D40BA	20F453	<76>	Land's End Desert, Area 02
[192]	14D936	1D1C84	1D449A	20F8FC	<76>	Land's End Desert, Area 03
[194]	14D9B8	1D1CA8	1D44A3	20F902	<76>	Land's End Desert, Area 04
[193]	14D983	1D1C96	1D44A3	20F8FF	<76>	Land's End Desert, Area 05
[13F]	14C8EF	1D16AE	1D40C3	20F456	<76>	Land's End Desert, Area 06
[10E]	14C1B3	1D133C	1D3EA3	20F2EB	<75>	Land's End Secret Underground, Area 01 (leads to Kero Sewers)
[191]	14D8F1	1D1C72	1D4491	20F8EF	<75>	Land's End Secret Underground, Area 02 (leads to Kero Sewers)
[107]	14C034	1D12BE	1D3E39	20F2BE	<23>	Land's End Underground, Area 01
[108]	14C06D	1D12D0	1D3E42	20F2C1	<23>	Land's End Underground, Area 02
[109]	14C09A	1D12E2	1D3E54	20F2C4	<23>	Land's End Underground, Area 03
[106]	14BFC3	1D12AC	1D3E30	20F2BB	<75>	Land's End Underground, Area 04 (buy super stars)
[089]	14A4A6	1D09E2	1D3852	20ED03	<70>	Land's End, Area 01
[08A]	14A4E3	1D09F4	1D385B	20ED0C	<70>	Land's End, Area 02
[08B]	14A52C	1D0A06	1D386D	20ED25	<70>	Land's End, Area 03 (Geckits playing cannonball)
[08D]	14A579	1D0A2A	1D387F	20ED30	<71>	Land's End, Area 04 (rotating flowers)
[08E]	14A5B2	1D0A3C	1D389A	20ED48	<71>	Land's End, Area 05 (sky bridge)
[08C]	14A579	1D0A18	1D387F	20ED2D	<70>	Land's End, Areas ***
[1A3]	14DE0F	1D1DB6	1D455D	20F9CB	<33>	Lazy Shell cloud
[010]	148769	1D0160	1D31D8	20E4C6	<06>	Mario's Pad
[0BD]	14AFAE	1D0D8A	1D3AD6	20EF68	<58>	Mario's Pipehouse
[099]	14A87C	1D0B02	1D38B4	20EDAD	<4F>	Marrymore Chapel, entrance to sanctuary
[09B]	14A956	1D0B26	1D38B4	20EDCF	<63>	Marrymore Chapel, kitchen
[09C]	14A973	1D0B38	1D38C4	20EDD2	<66>	Marrymore Chapel, kitchen (no sprites/exits, unused?)
[098]	14A817	1D0AF0	1D38AC	20ED8E	<4E>	Marrymore Chapel, main hall
[041]	1491BA	1D04D2	1D34AC	20E843	<4F>	Marrymore Chapel, sanctuary
[09A]	14A8C9	1D0B14	1D38B4	20EDC6	<4F>	Marrymore Chapel, sanctuary (during Booster)
[007]	148569	1D00BE	1D31AF	20E426	<63>	Marrymore Inn, 1F
[006]	14853C	1D00AC	1D3196	20E423	<65>	Marrymore Inn, 2F
[00B]	14861C	1D0106	1D31B8	20E49F	<65>	Marrymore Inn, 3F
[009]	1485CE	1D00E2	1D31AF	20E47B	<63>	Marrymore Inn, regular room
[00C]	14865D	1D0118	1D31C9	20E4A2	<38>	Marrymore Inn, Suite room
[040]	149115	1D04C0	1D3491	20E818	<62>	Marrymore, outside
[005]	1484BB	1D009A	1D3178	20E415	<62>	Marrymore, outside (during Booster)
[046]	1493DB	1D052C	1D34BB	20E8A6	<5D>	Midas River, 1st tunnel
[047]	14943C	1D053E	1D34BB	20E8A9	<5D>	Midas River, 2nd tunnel (both left and right)
[048]	149489	1D0550	1D34BB	20E8AC	<5D>	Midas River, 3rd tunnel (on left)
[049]	1494D6	1D0562	1D34BB	20E8AF	<5D>	Midas River, 4th tunnel (on very bottom right)
[044]	149309	1D0508	1D34BB	20E870	<36>	Midas River, barrel jumping river
[043]	1492B4	1D04F6	1D34B5	20E867	<36>	Midas River, business transaction Area
[045]	14936E	1D051A	1D34BB	20E8A3	<39>	Midas River, waterfall
[114]	14C325	1D13A8	1D3EF8	20F30F	<24>	Moleville Mines, Area 01 (entrance)
[112]	14C2CB	1D1384	1D3ED7	20F303	<24>	Moleville Mines, Area 02
[116]	14C377	1D13CC	1D3F22	20F315	<24>	Moleville Mines, Area 03 (leads back to Area 1)
[111]	14C29E	1D1372	1D3EBE	20F300	<24>	Moleville Mines, Area 04 (w/trampoline)
[115]	14C33A	1D13BA	1D3F11	20F312	<24>	Moleville Mines, Area 05 (left of trampoline room)
[113]	14C2FC	1D1396	1D3EE7	20F30C	<24>	Moleville Mines, Area 06 (small room leading to Area 06)
[119]	14C3E2	1D1402	1D3F56	20F324	<24>	Moleville Mines, Area 07 (from Croco's bombed room)
[117]	14C394	1D13DE	1D3F34	20F318	<24>	Moleville Mines, Area 08 (Croco's bombed room)
[11B]	14C444	1D1426	1D3F81	20F32A	<29>	Moleville Mines, Area 09 (leads left to Croco's bombed room)
[11A]	14C41F	1D1414	1D3F70	20F327	<24>	Moleville Mines, Area 10 (small room w/minecart tracks)
[110]	14C26D	1D1360	1D3EAC	20F2FD	<24>	Moleville Mines, Area 11 (bombed room w/singing Moles)
[11E]	14C4EB	1D145C	1D3FAC	20F350	<29>	Moleville Mines, Area 12 (2-level room, leads to long minecart tracks room)
[11D]	14C4A6	1D144A	1D3F9B	20F342	<29>	Moleville Mines, Area 13 (long minecart tracks room)
[11F]	14C510	1D146E	1D3FC5	20F359	<29>	Moleville Mines, Area 14 (2-level room from long minecart tracks room)
[118]	14C3BD	1D13F0	1D3F46	20F321	<24>	Moleville Mines, Area 15 (2-level room w/Sparky and 10-coin TC)
[120]	14C53D	1D1480	1D3FE0	20F35C	<29>	Moleville Mines, Area 16 (large save-point room w/four Bob-ombs)
[10F]	14C204	1D134E	1D3EAC	20F2EE	<2A>	Moleville Mines, Area 17 (Punchinello's room)
[121]	14C57A	1D1492	1D3FE9	20F36A	<2A>	Moleville Mines, Area 17 (Punchinello's room)
[122]	14C5BB	1D14A4	1D3FF2	20F379	<2A>	Moleville Mines, Area 17 (Punchinello's room, before defeat)
[11C]	14C481	1D1438	1D3F92	20F333	<29>	Moleville Mines, Area 18 (minecart room)
[152]	14CCE6	1D1804	1D41C5	20F537	<01>	Moleville, Dyna and Mite's house
[069]	149D32	1D07A2	1D3697	20EABF	<01>	Moleville, Dyna and Mite's house (before rescue)
[153]	14CD17	1D1816	1D41CE	20F552	<01>	Moleville, Fireworks shop
[151]	14CCB5	1D17F2	1D41C5	20F50A	<01>	Moleville, Inn
[150]	14CC6C	1D17E0	1D41C5	20F4F5	<01>	Moleville, Item Shop
[06C]	149DC9	1D07D8	1D36BB	20EAE6	<61>	Moleville, Outside
[066]	149CAF	1D076C	1D3649	20EAB0	<1A>	Moleville, Outside (at Mines entrance)
[154]	14CD3C	1D1828	1D41CE	20F573	<01>	Moleville, Special item-trading shop
[18F]	14D87B	1D1C4E	1D447F	20F8D1	<77>	Monstro Town, 3 Musty Fears Inn
[10B]	14C0EC	1D1306	1D3E91	20F2DC	<78>	Monstro Town, entrance
[0FF]	14BE59	1D122E	1D3E0C	20F2A0	<4A>	Monstro Town, Jinx's Dojo
[18B]	14D7B7	1D1C06	1D445D	20F8A7	<77>	Monstro Town, Monstermama's house (1F)
[18C]	14D7F8	1D1C18	1D4465	20F8B0	<77>	Monstro Town, Monstermama's house (2F)
[144]	14C9EC	1D1708	1D40F9	20F46B	<78>	Monstro Town, outside
[18D]	14D81D	1D1C2A	1D446D	20F8BF	<77>	Monstro Town, super-jumping room
[18E]	14D842	1D1C3C	1D4476	20F8CE	<77>	Monstro Town, Weapon and Armor Shop
[031]	148EB0	1D03B2	1D340B	20E6F8	<1E>	Mushroom Kingdom before Croco, Inn (1F)
[035]	148F28	1D03FA	1D3425	20E732	<1E>	Mushroom Kingdom before Croco, Item Shop (basement)
[02F]	148E7E	1D038E	1D33F1	20E6E8	<1E>	Mushroom Kingdom before Croco, Item Shop (top floor)
[02C]	148E2F	1D0358	1D33CF	20E6C4	<1E>	Mushroom Kingdom before Croco, jumping kid's house (1F)
[02D]	148E4C	1D036A	1D33E0	20E6D1	<1E>	Mushroom Kingdom before Croco, jumping kid's house (2F)
[02E]	148E59	1D037C	1D33E8	20E6D4	<1E>	Mushroom Kingdom before Croco, Raz and Raini's house
[033]	148EF2	1D03D6	1D341C	20E703	<1E>	Mushroom Kingdom before Croco, running kid's house
[149]	14CB41	1D1762	1D416E	20F4BD	<11>	Mushroom Kingdom Castle during Mack, branch room to Vault/Guest Room
[143]	14C9DB	1D16F6	1D40E7	20F468	<11>	Mushroom Kingdom Castle during Mack, entrance to Throne Room
[14C]	14CB88	1D1798	1D41A4	20F4D2	<11>	Mushroom Kingdom Castle during Mack, entrance to Toadstool's room
