--------------------------------
OBJECT STRUCTURES (4 bytes each)
--------------------------------
OBJECT   = pointers to palettes/sprites & animations/molds
	   byte 1,2  palette/GFX pointer
	   (bytes AND #$01FF) * 4 + 251800 = offset of pointers
	   byte 3,4  mold + animation sequence pointer

PTRS --- = pointers to whatever follows the ---
PAL      = object's palette
MOLD     = object's mold
GFX      = object's uncompressed sprite graphics

   ///==========\
 ///  CHARACTERS |
=======================================================================
OBJECT   PTRS --- PAL ---- GFX      PTRS --- MOLD     BYTE    OBJECT ID
----------------------------------------------------------------------------------------
250000 | 251C78 | 257998 | 30C4C0 | 2522CD | 27E606 | [000] | Mario (walking, down-left)
250038 | 251CA4 | 257DD0 | 318200 | 2522FD | 3611DE | [00E] | Bowser (walking, up-right)
25003C | 251CA4 | 257DD0 | 318200 | 252300 | 36176B | [00F] | Bowser (surprise)
250040 | 251CA8 | 257E66 | 31B9A0 | 252303 | 3619CD | [010] | Bowser (claw attack)
250044 | 251CA8 | 257E66 | 31B9A0 | 252306 | 361E9D | [011] | Bowser (swing ball-chain)
250048 | 251CA8 | 257E66 | 31B9A0 | 252309 | 362161 | [012] | Bowser (cast spell)
25004C | 251CC8 | 2581AE | 324CE0 | 25230C | 362425 | [013] | Mallow (walking, down-left)
250050 | 251CC8 | 2581AE | 324CE0 | 25230F | 3626A1 | [014] | Mallow (walking, up-right)
250054 | 251CC8 | 2581AE | 324CE0 | 252312 | 362A39 | [015] | Mallow (surprise)
250058 | 251CCC | 258244 | 327A40 | 252315 | 362C50 | [016] | Mallow (punch)
25005C | 251CCC | 258244 | 327A40 | 252318 | 363078 | [017] | Mallow (swing stick)
250060 | 251CCC | 258244 | 327A40 | 25231B | 3632E6 | [018] | Mallow (still, up-right)
250064 | 251CC0 | 258046 | 3204A0 | 25231E | 36339E | [019] | Geno (walking, down-left)
250068 | 251CC0 | 258046 | 3204A0 | 252321 | 363592 | [01A] | Geno (walking, up-right)
25006C | 251CC0 | 258046 | 3204A0 | 252324 | 3638E9 | [01B] | Geno (surprise)
250070 | 251CC4 | 2580FA | 3230A0 | 252327 | 363A0B | [01C] | Geno (elbow shot)
250074 | 251CC4 | 2580FA | 3230A0 | 25232A | 363CFE | [01D] | Geno (finger shot)
250078 | 251CC4 | 2580FA | 3230A0 | 25232D | 363FB2 | [01E] | Geno (morph into cannon)
25007C | 251BC8 | 256E3A | 2ED220 | 25248C | 36B5BE | [01F] | Hammer
250080 | 251BCC | 256E94 | 2EDAA0 | 25248F | 36B768 | [020] | Froggie Stick
250084 | 251BD0 | 256EB2 | 2EDE60 | 252492 | 36B825 | [021] | Cymbals
250088 | 251BD4 | 256EEE | 2EE9A0 | 252495 | 36B9E5 | [022] | Chomp
25008C | 251BD8 | 256F0C | 2EF260 | 252498 | 36BCC0 | [023] | Frying Pan
250090 | 251BF4 | 257182 | 2F0580 | 25249B | 36BD5A | [024] | Parasol
250094 | 251BE8 | 256FC0 | 2F0000 | 25249E | 36BE5E | [025] | War Fan
250098 | 251B90 | 256AF2 | 2E2D40 | 252330 | 3642DE | [026] | Red Mushroom
25009C | 251B90 | 256AF2 | 2E2D40 | 252333 | 3644A8 | [027] | Red Scarecrow
2500A0 | 251B94 | 256B88 | 2E3860 | 252336 | 364708 | [028] | Mario's battle portrait
2500A4 | 251B94 | 256B88 | 2E3860 | 252339 | 3647C3 | [029] | Toadstool's battle portrait
2500A8 | 251B94 | 256B88 | 2E3860 | 25233C | 36487E | [02A] | Bowser's battle portrait
2500AC | 251B94 | 256B88 | 2E3860 | 25233F | 364939 | [02B] | Mallow's battle portrait
2500B0 | 251B94 | 256B88 | 2E3860 | 252342 | 3649F4 | [02C] | Geno's battle portrait
2500B4 | 251CAC | 257F1A | 31DE60 | 25235D | 3654C7 | [02D] | Yellow Yoshi
2500B8 | 251CAC | 257F38 | 31DE60 | 25235D | 3654C7 | [02E] | Pink Yoshi
2500BC | 251C3C | 2576C8 | 2FF8E0 | 252369 | 366077 | [02F] | Boshi
2500C0 | 251B98 | 256BE2 | 2E5940 | 252351 | 364C04 | [030] | Croco
2500C4 | 251CAC | 257EFC | 31DE60 | 252363 | 365AE8 | [031] | Green Yoshi
2500C8 | 251B9C | 256C00 | 2E6D80 | 252357 | 365043 | [032] | Booster
2500CC | 251CAC | 257EFC | 31DE60 | 25235D | 3654C7 | [033] | Green Yoshi (walk)
2500D0 | 251CAC | 257EFC | 31DE60 | 252360 | 365791 | [034] | Booster (walk)
2500D4 | 251BA0 | 256C1E | 2E7FA0 | 25236C | 3660F7 | [035] | King Nimbus
2500D8 | 251BA4 | 256C3C | 2E87C0 | 25236F | 36618F | [036] | Queen Nimbus
2500DC | 251AB0 | 256084 | 2CC7E0 | 252372 | 36620F | [037] | Jonathan Jones
2500E0 | 251AB4 | 2560A2 | 2CD7C0 | 252375 | 36633D | [038] | Valentina
2500E4 | 251BA8 | 256C5A | 2E8E00 | 252378 | 366404 | [039] | Magikoopa
2500E8 | 251AD4 | 2561B0 | 2D0100 | 252381 | 366CC0 | [03A] | Frogfucius
2500EC | 251AB8 | 2560C0 | 2CDF80 | 252384 | 366D5E | [03B] | Tadpole
2500F0 | 251C08 | 257308 | 2F42C0 | 252048 | 25C406 | [03C] | Thwomp
2500F4 | 251C08 | 257308 | 2F42C0 | 252111 | 26CEA3 | [03D] | Big Thwomp
2500F8 | 251948 | 254C7A | 2B9140 | 25217D | 272DD4 | [03E] | Microbomb
2500FC | 251ABC | 2560DE | 2CE5C0 | 252387 | 366E12 | [03F] | Valentina Statue
250100 | 251C8C | 257B00 | 310D80 | 25238D | 366F02 | [040] | Toad
250104 | 251AD8 | 2561CE | 2D07A0 | 252396 | 3670B4 | [041] | Wallet Guy (also casino assistants)
250108 | 251AD8 | 2561CE | 2D07A0 | 252399 | 3671D9 | [042] | Raini
25010C | 251ADC | 256246 | 2D1DE0 | 25239C | 367259 | [043] | Old Man
250110 | 251ADC | 256246 | 2D1DE0 | 25239F | 3672D9 | [044] | Old Woman
250114 | 251C8C | 257B1E | 310D80 | 25238D | 366F02 | [045] | Green/Brown Toad
250118 | 251AE0 | 2562FA | 2D2980 | 2523AE | 3675E9 | [046] | Chancellor
25011C | 251AE4 | 256318 | 2D3060 | 2523B1 | 36769F | [047] | Pa Mole
250120 | 251AE4 | 256318 | 2D3060 | 2523B4 | 36771F | [048] | Ma Mole
250124 | 251AE8 | 256336 | 2D3E40 | 2523B7 | 36779F | [049] | Girl Mole (pink bow)
250128 | 251AE8 | 256354 | 2D3E40 | 2523B7 | 36779F | [04A] | Girl Mole (yellow bow)
25012C | 251BB0 | 256CD2 | 2E9E40 | 2523C0 | 367A41 | [04B] | Nimbusite (blue)
250130 | 251BB0 | 256CF0 | 2E9E40 | 2523C3 | 367AD7 | [04C] | Nimbusite (red)
250134 | 251BB0 | 256D0E | 2E9E40 | 2523C0 | 367A41 | [04D] | Nimbusite (brown/green)
250138 | 251BB0 | 256D2C | 2E9E40 | 2523C3 | 367AD7 | [04E] | Nimbusite (yellow/green)
25013C | 251BAC | 256C96 | 2E9800 | 2523BD | 3679C1 | [04F] | Nimbus Guard
250140 | 251AEC | 256372 | 2D43C0 | 2523BA | 367813 | [050] | Toadofsky
250144 | 251C40 | 2576E6 | 2FFEA0 | 252441 | 36A079 | [051] | Mario Doll (Booster's Castle)
250148 | 251B30 | 2566D8 | 2DB2E0 | 252426 | 369800 | [052] | Blue Star Piece
25014C | 251B30 | 256732 | 2DB2E0 | 252426 | 369800 | [053] | Purple Star Piece
250150 | 251B30 | 25676E | 2DB2E0 | 252426 | 369800 | [054] | Red Star Piece
250154 | 251B30 | 256714 | 2DB2E0 | 252426 | 369800 | [055] | Gold Star Piece
250158 | 251B30 | 2566F6 | 2DB2E0 | 252426 | 369800 | [056] | Green Star Piece
25015C | 251B30 | 256750 | 2DB2E0 | 252426 | 369800 | [057] | Light Blue Star Piece
250160 | 251B30 | 25678C | 2DB2E0 | 252426 | 369800 | [058] | Yellow Star Piece
250164 | 251C88 | 257A88 | 310660 | 252345 | 364AB3 | [059] | Geno Doll
250168 | 251C88 | 257AA6 | 310660 | 252348 | 364B70 | [05A] | Bowser Doll
25016C | 251C40 | 2576E6 | 2FFEA0 | 252441 | 36A079 | [05B] | Mario Doll
250170 | 251C88 | 257AC4 | 310660 | 25234E | 364BD6 | [05C] | Toadstool Doll
250174 | 251AF8 | 2563EA | 2D5DE0 | 2523E4 | 368A60 | [05D] | Blue Stepping Block
250178 | 251AF0 | 256390 | 2D4CE0 | 2523C6 | 367BB8 | [05E] | Treasure Chest
25017C | 251AF0 | 256390 | 2D4CE0 | 2523C9 | 367DE7 | [05F] | Empty Treasure Chest
250180 | 251C80 | 257A4C | 310000 | 2522E2 | 27FAA7 | [060] | Mario Doll (surprised)
250184 | 251B60 | 25698A | 2E06C0 | 25244D | 36A362 | [061] | Toadstool's Parachute
250188 | 251AFC | 256408 | 2D5F60 | 2523E7 | 368A84 | [062] | Rolling Barrel
25018C | 251B00 | 256426 | 2D65A0 | 2523EA | 368B24 | [063] | Warp Spring-board
250190 | 251B00 | 256426 | 2D65A0 | 2523ED | 368C5A | [064] | Jump Spring-board
250194 | 251AC4 | 25611A | 2CF1E0 | 2523F0 | 368DAB | [065] | Teeter-totter
250198 | 251B04 | 256462 | 2D6BE0 | 2523F3 | 368E21 | [066] | Save Point
25019C | 251890 | 253FB4 | 29A380 | 2523F6 | 368E88 | [067] | Corkpedite
2501A0 | 251B4C | 25687C | 2DEDC0 | 252468 | 36A984 | [068] | J Puzzle Block
2501A4 | 251AF8 | 2563CC | 2D5DE0 | 2523E4 | 368A60 | [069] | Yellow Stepping Block
2501A8 | 251B08 | 256480 | 2D70E0 | 2523F9 | 368F71 | [06A] | Water Droplet
2501AC | 251AC0 | 2560FC | 2CEC00 | 25238A | 366E82 | [06B] | Hinopio
2501B0 | 251B0C | 2564DA | 2D7A00 | 2523FC | 369062 | [06C] | Factory Hex-Nut
2501B4 | 251B10 | 2565AC | 2D8080 | 2523FF | 3690D9 | [06D] | Green Switch
2501B8 | 251AF0 | 2563AE | 2D4CE0 | 2523C6 | 367BB8 | [06E] | Discolored Treasure Chest?
2501BC | 251C98 | 257C86 | 313C80 | 252411 | 369323 | [06F] | Nimbusland Bus Driver
2501C0 | 251AD8 | 2561EC | 2D07A0 | 252396 | 3670B4 | [070] | Mushroom Boy
2501C4 | 251AD8 | 25620A | 2D07A0 | 252396 | 3670B4 | [071] | Marrymore Man (green)
2501C8 | 251AD8 | 2561EC | 2D07A0 | 252399 | 3671D9 | [072] | Marrymore Woman (yellow)
2501CC | 251AD8 | 25620A | 2D07A0 | 252399 | 3671D9 | [073] | Marrymore Woman (green)
2501D0 | 251C8C | 257B3C | 310D80 | 25238D | 366F02 | [074] | Marrymore Kid (purple)
2501D4 | 251C8C | 257B5A | 310D80 | 25238D | 366F02 | [075] | Marrymore Kid (blue/green)
2501D8 | 251ADC | 256264 | 2D1DE0 | 25239C | 367259 | [076] | Marrymore Bright Card buyer (brown/grey)
2501DC | 251ADC | 256282 | 2D1DE0 | 25239C | 367259 | [077] | Rose Town Gardener (green/grey)
2501E0 | 251ADC | 256264 | 2D1DE0 | 25239F | 3672D9 | [078] | Old Woman (green/grey)
2501E4 | 251ADC | 256282 | 2D1DE0 | 25239F | 3672D9 | [079] | Old Woman (purple/grey)
2501E8 | 251CAC | 257EFC | 31DE60 | 252366 | 365C9F | [07A] | Fat Yoshi Baby
2501EC | 251B40 | 256804 | 2DCA80 | 25243B | 369D86 | [07B] | Yoshi Baby Egg
2501F0 | 251B84 | 256A98 | 2E2160 | 2524A7 | 36C022 | [07C] | Gameboy Kid
2501F4 | 251BC4 | 256E1C | 2ECF20 | 252489 | 36B57E | [07D] | Frogfucius Student
2501F8 | 251C04 | 2572AE | 2F3520 | 252045 | 25C181 | [07E] | Chomp (behind)
2501FC | 251868 | 253BB8 | 293000 | 252132 | 26F16F | [07F] | Wiggler (head)
250200 | 251B18 | 256624 | 2D8D40 | 252408 | 369226 | [080] | Block Shadow
250204 | 251BA8 | 256C78 | 2E8E00 | 252378 | 366404 | [081] | Red Magikoopa
250208 | 251868 | 253BB8 | 293000 | 252135 | 26F1EB | [082] | Wiggler (body segment)
25020C | 251C14 | 257470 | 2F6B80 | 25213B | 26F9F8 | [083] | Dodo (as parson)
250210 | 251BC0 | 256DC2 | 2EB540 | 252486 | 36B27F | [084] | Moleville Mine Cart
250214 | 251ACC | 256156 | 2CF700 | 25237B | 366607 | [085] | Knife Guy Juggler (still, red balls)
250218 | 251ACC | 256156 | 2CF700 | 25237E | 366914 | [086] | Knife Guy Juggler
25021C | 251BC0 | 256DE0 | 2EB540 | 252486 | 36B27F | [087] | White Mine Cart?
250220 | 251BC0 | 256DFE | 2EB540 | 252486 | 36B27F | [088] | Discolored Mine Cart
250224 | 251840 | 253762 | 28CAA0 | 25214A | 270933 | [089] | Fireball (surface from lava)
250228 | 251818 | 2532D0 | 283FE0 | 252150 | 2709BF | [08A] | Piranha Plant
25022C | 251814 | 253294 | 283140 | 252153 | 270A0C | [08B] | Goomba
250230 | 251858 | 253A14 | 290BA0 | 25204E | 25C5BE | [08C] | Bullet Bill
250234 | 251858 | 253A32 | 290BA0 | 25204E | 25C5BE | [08D] | Golden Bullet Bill
250238 | 2518D0 | 254482 | 2A5F40 | 2520BD | 265F3B | [08E] | Factory Clerk (green)
25023C | 251B1C | 256642 | 2D8F40 | 25240B | 36927E | [08F] | Land's End Cannon
250240 | 251AC8 | 256138 | 2CF6E0 | 25240E | 3692D6 | [090] | Red Dot?
250244 | 251844 | 2537BC | 28D3C0 | 252165 | 271C6C | [091] | Bob-omb
250248 | 251C00 | 257290 | 2F2640 | 2521CE | 27A06D | [092] | Commander Troopa
25024C | 2518B4 | 254266 | 2A0D20 | 2520A5 | 2633C6 | [093] | Golden Belome
250250 | 251828 | 25350A | 288380 | 25202A | 25AB66 | [094] | Birdy Statue
250254 | 251B80 | 256A7A | 2E1F00 | 2524A4 | 36BFDC | [095] | Shyguy in Bowser's Helicopter
250258 | 251C54 | 25784E | 303220 | 252429 | 3698EE | [096] | Machine Made Bowyer
25025C | 2518E0 | 2545CC | 2AA3C0 | 25246E | 36AA58 | [097] | Machine Made Yaridovich (out of battle)
250260 | 25195C | 254E1E | 2BB6E0 | 2521AD | 277FC6 | [098] | Machine Made Axem Red
250264 | 251C38 | 25768C | 2FE640 | 2521E0 | 27ACBE | [099] | Gunyolk (top section)
250268 | 251C38 | 25768C | 2FE640 | 2521E3 | 27AD5E | [09A] | Gunyolk (outer section)
25026C | 251B88 | 256AB6 | 2E23E0 | 2524AA | 36C096 | [09B] | Factory Crane
250270 | 251B30 | 2566D8 | 2DB2E0 | 2524AD | 36C159 | [09C] | Blue-Green Star Piece (spinning)
250274 | 251C5C | 2578A8 | 305960 | 2521E6 | 27AD96 | [09D] | Smithy's Hammer
250278 | 251C5C | 2578A8 | 305960 | 2521E9 | 27AF64 | [09E] | Smithy's Chest
25027C | 251BDC | 256F66 | 2EF680 | 2524B0 | 36C1EA | [09F] | Poison Toxic Gas
250280 | 251BE4 | 256FA2 | 2EFA40 | 2524B3 | 36C32B | [0A0] | Shelly (bottom section)
250284 | 251B58 | 25694E | 2DF780 | 252450 | 36A38A | [0A1] | Dyna and Mite
250288 | 251AD8 | 256228 | 2D07A0 | 252396 | 3670B4 | [0A2] | Seaside Town Fake (green)
25028C | 251ADC | 2562A0 | 2D1DE0 | 25239C | 367259 | [0A3] | Seaside Town Fake Elder (green)
250290 | 251ADC | 2562BE | 2D1DE0 | 25239C | 367259 | [0A4] | Seaside Town Elder (yellow/green)
250294 | 251ADC | 2562DC | 2D1DE0 | 25239F | 3672D9 | [0A5] | Monstermama (golden/brown/red)
250298 | 251BAC | 256CB4 | 2E9800 | 2523BD | 3679C1 | [0A6] | Nimbus Guard
25029C | 2518D0 | 2544A0 | 2A5F40 | 2520BD | 265F3B | [0A7] | Factory Manager (blue)
2502A0 | 2518D0 | 2544BE | 2A5F40 | 2520BD | 265F3B | [0A8] | Factory Director (red)
2502A4 | 2518BC | 2542DE | 2A2540 | 2524B6 | 36C355 | [0A9] | Boomer (red)
2502A8 | 251928 | 2549E6 | 2B4820 | 252162 | 27175C | [0AA] | Dr.Topper (green)
2502AC | 251808 | 2530F0 | 281060 | 2524B9 | 36C474 | [0AB] | Sparkles from Star Piece
2502B0 | 251C88 | 257A88 | 310660 | 252345 | 364AB3 | [0AC] | Geno Doll
2502B4 | 251978 | 2550EE | 2BF4E0 | 2524BC | 36C50A | [0AD] | Smelter (back section)
2502B8 | 251BE0 | 256F84 | 2EF8C0 | 2524BF | 36C592 | [0AE] | Small Candy Cloud
2502BC | 251C04 | 2572EA | 2F3520 | 252045 | 25C181 | [0AF] | Golden Chomp (back)
2502C0 | 251C04 | 2572CC | 2F3520 | 252042 | 25BDB3 | [0B0] | Chomp (front)
2502C4 | 251B8C | 256AD4 | 2E2820 | 2524C2 | 36C6D5 | [0B1] | Grate Guy (from casino)
2502C8 | 251AD8 | 2561CE | 2D07A0 | 2523A2 | 367359 | [0B2] | Marrymore Inn Keeper (blue, striped hat)
2502CC | 251AD8 | 2561EC | 2D07A0 | 2523A2 | 367359 | [0B3] | Rose Town Treasure Holder
2502D0 | 251AD8 | 2561CE | 2D07A0 | 2523A5 | 3673FD | [0B4] | Rose Town Woman (blue/pink, braids)
2502D4 | 251AD8 | 2561EC | 2D07A0 | 2523A5 | 3673FD | [0B5] | Marrymore Woman (yellow)
2502D8 | 251ADC | 256246 | 2D1DE0 | 2523A8 | 3674A1 | [0B6] | Rose Town Old Man (blue/grey)
2502DC | 251ADC | 256246 | 2D1DE0 | 2523AB | 367545 | [0B7] | Old Woman (grey/red)
2502E0 | 251C8C | 257B00 | 310D80 | 252390 | 366FCC | [0B8] | Kid (red, striped hat)
2502E4 | 251C8C | 257B3C | 310D80 | 252390 | 366FCC | [0B9] | Gaz (purple)
2502E8 | 251800 | 253000 | 280000 | 252000 | 259000 | [0BA] | (nothing)
2502EC | 251800 | 253000 | 280000 | 252000 | 259000 | [0BB] | (nothing)
2502F0 | 251B4C | 2568D6 | 2DEDC0 | 2524D4 | 36C89D | [0BC] | Cannon Ball
2502F4 | 251B98 | 256BE2 | 2E5940 | 252354 | 364E95 | [0BD] | Croco (still)
2502F8 | 251C84 | 257A6A | 310440 | 2522E5 | 27FB44 | [0BE] | Bowser w/Toadstool in Helicopter
2502FC | 251C94 | 257C0E | 313C00 | 252393 | 367062 | [0BF] | Miniature Toad
250300 | 251808 | 2530F0 | 281060 | 2523CC | 368016 | [0C0] | Coin
250304 | 251808 | 2530F0 | 281060 | 2523CF | 368200 | [0C1] | Small Coin
250308 | 251808 | 25312C | 281060 | 2523CC | 368016 | [0C2] | Frog Coin
25030C | 251808 | 2530F0 | 281060 | 2523D2 | 36839D | [0C3] | Flower
250310 | 251808 | 2530F0 | 281060 | 2523D5 | 36843C | [0C4] | Big Flower
250314 | 251808 | 2530F0 | 281060 | 2523DB | 3686C2 | [0C5] | Sparkle? (sideways)
250318 | 251808 | 2530F0 | 281060 | 2523DE | 368766 | [0C6] | Sparkle (downwards)
25031C | 251808 | 2530F0 | 281060 | 2523E1 | 36895D | [0C7] | Sparkle (circular winding)
250320 | 251B14 | 2565CA | 2D8380 | 252402 | 369111 | [0C8] | Explosion
250324 | 251B14 | 2565E8 | 2D8380 | 252405 | 3691D4 | [0C9] | Mokura's Cloud (blue)
250328 | 251808 | 25312C | 281060 | 2523CF | 368200 | [0CA] | Small Frog Coin
25032C | 251AF4 | 2563AE | 2D59A0 | 2523D8 | 36845E | [0CB] | Level Up text from Invincible Star
250330 | 251B14 | 256606 | 2D8380 | 252402 | 369111 | [0CC] | Grey Explosion (when encountering Fireballs)
250334 | 251BF8 | 2571BE | 2F0C80 | 2524A1 | 36BF36 | [0CD] | Miniature Axem Red
250338 | 251BFC | 2571FA | 2F1180 | 252006 | 2593E8 | [0CE] | Terrapin (still)
25033C | 251C10 | 257416 | 2F5A40 | 252483 | 36B1FD | [0CF] | Jinx (walk)
250340 | 25195C | 254DE2 | 2BB6E0 | 2521AD | 277FC6 | [0D0] | Axem Red
250344 | 251960 | 254E5A | 2BC160 | 2521B0 | 2782AC | [0D1] | Axem Black
250348 | 251964 | 254ED2 | 2BCB20 | 2521B3 | 2785D6 | [0D2] | Axem Pink
25034C | 251968 | 254F68 | 2BD4A0 | 2521B6 | 2789BB | [0D3] | Axem Yellow
250350 | 25196C | 254FE0 | 2BDFE0 | 2521B9 | 278D67 | [0D4] | Axem Green
250354 | 251970 | 25503A | 2BE780 | 2521BC | 279098 | [0D5] | Axem Red teleport
250358 | 25189C | 254086 | 29D020 | 25247D | 36B091 | [0D6] | Stumpet (head)
25035C | 25189C | 254086 | 29D020 | 252480 | 36B175 | [0D7] | Stumpet (roots, right)
250360 | 2518D8 | 254554 | 2A7CC0 | 252474 | 36AD11 | [0D8] | Czar Dragon (body)
250364 | 251BB8 | 256D68 | 2EADC0 | 252477 | 36ADD9 | [0D9] | Growing Vine Beanstalk
250368 | 251BBC | 256D86 | 2EB1C0 | 25247A | 36B049 | [0DA] | Brick Beanstalk Block
25036C | 251B08 | 2564BC | 2D70E0 | 2523F9 | 368F71 | [0DB] | Yellow Dot?
250370 | 251B7C | 256A5C | 2E1E00 | 252471 | 36ACD9 | [0DC] | Yellow Letter
250374 | 2518E0 | 2545AE | 2AA3C0 | 25246E | 36AA58 | [0DD] | Yaridovich (out of battle)
250378 | 251BB4 | 256D4A | 2EAA40 | 25246B | 36A9DC | [0DE] | Banana Peel
25037C | 251B78 | 256A3E | 2E1980 | 252465 | 36A666 | [0DF] | Tentacle (extending)
250380 | 251C18 | 2574AC | 2F7A60 | 2520E7 | 269F51 | [0E0] | Snifit (black, back)
250384 | 251B64 | 2569A8 | 2E0880 | 252462 | 36A622 | [0E1] | Level Up Bonus Selection Box
250388 | 251B68 | 2569C6 | 2E0980 | 252453 | 36A422 | [0E2] | Booster's Tower Entrance Door
25038C | 251B50 | 2568F4 | 2DF400 | 25244A | 36A33A | [0E3] | Light Green Pipe (top edge)
250390 | 251B48 | 25685E | 2DD120 | 252444 | 36A0A7 | [0E4] | Level Up Bonus Text
250394 | 251B5C | 25696C | 2E0000 | 252447 | 36A27E | [0E5] | Level Up Bonus Flower
250398 | 251B6C | 2569E4 | 2E0B40 | 252459 | 36A4CD | [0E6] | Level Up Bonus Pow Power
25039C | 251B70 | 256A02 | 2E1040 | 25245C | 36A542 | [0E7] | Level Up Bonus Star Magic
2503A0 | 251B74 | 256A20 | 2E1520 | 25245F | 36A5B7 | [0E8] | Level Up Bonus HP
2503A4 | 251B44 | 256840 | 2DCF40 | 25243E | 36A020 | [0E9] | Falling Stepping Bridge Block
2503A8 | 251B3C | 2567E6 | 2DC500 | 252438 | 369CE2 | [0EA] | Old Classic Mario
2503AC | 251B38 | 2567C8 | 2DBFA0 | 252435 | 369BC0 | [0EB] | Booster's Choo-Choo Train
2503B0 | 251BA8 | 256C5A | 2E8E00 | 252378 | 366404 | [0EC] | Magikoopa (blue, walking)
2503B4 | 251BFC | 2571FA | 2F1180 | 252003 | 25901F | [0ED] | Terrapin (walking)
2503B8 | 251B34 | 2567AA | 2DBDE0 | 252432 | 369B44 | [0EE] | Splash Water Droplets
2503BC | 251B08 | 25649E | 2D70E0 | 25242F | 369AD2 | [0EF] | Small Sea Fish
2503C0 | 251B34 | 2567AA | 2DBDE0 | 25242C | 3699DC | [0F0] | Splash Water Geyser
2503C4 | 251C54 | 257830 | 303220 | 252429 | 3698EE | [0F1] | Bowyer
2503C8 | 251A8C | 255E86 | 2CB520 | 2522B2 | 27E06D | [0F2] | White Gas Cloud
2503CC | 251938 | 254B30 | 2B6B60 | 252171 | 27255E | [0F3] | Machine Made Drill Bit
2503D0 | 251CD0 | 2582DA | 328BA0 | 2524C5 | 36C771 | [0F4] | Mushroom House Decor Mailbox
2503D4 | 251C7C | 257A2E | 30FDA0 | 2524C8 | 36C79A | [0F5] | Link Sleeping in Rose Town Inn
2503D8 | 251CD4 | 2582F8 | 328CA0 | 2524CB | 36C7E1 | [0F6] | Samus Sleeping in Mushroom Kingdom
2503DC | 251CD8 | 258316 | 328EA0 | 2524CE | 36C83C | [0F7] | Grey Stepping Stone
2503E0 | 251CDC | 258334 | 329020 | 2524D1 | 36C860 | [0F8] | Hinopio's Model Airplane (blue/grey)
2503E4 | 251BBC | 256DA4 | 2EB1C0 | 25247A | 36B049 | [0F9] | Grey Stone Block
2503E8 | 251B2C | 2566BA | 2DB260 | 252423 | 3697DC | [0FA] | Small Black Fence
2503EC | 251B28 | 25669C | 2DADE0 | 252420 | 369754 | [0FB] | Wooden Bridge Bowser's Keep (right section)
2503F0 | 251B24 | 25667E | 2DA340 | 25241D | 369665 | [0FC] | Grey Stone Bridge Bowser's Keep (right section)
2503F4 | 251CB0 | 257F56 | 31F940 | 25241A | 3694F2 | [0FD] | Toadstool Hand Captive from Rope
2503F8 | 251B20 | 256660 | 2D9540 | 252417 | 369432 | [0FE] | Plywood Brown Door Bowser's Keep
2503FC | 251AD0 | 256192 | 2D0000 | 252414 | 369392 | [0FF] | Beetle
=======================================================================

   ///========\
 ///  MONSTERS |
=======================================================================
OBJECT   PTRS --- PAL ---- GFX      PTRS --- MOLD     BYTE    OBJECT ID
-----------------------------------------------------------------------
250400 | 251BFC | 2571FA | 2F1180 | 252003 | 25901F | [100] | Terrapin
250404 | 251804 | 25301E | 280080 | 252009 | 259484 | [101] | Spikey
250408 | 251C00 | 257254 | 2F2640 | 25200C | 2596B5 | [102] | Sky Troopa
